"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","220","Клик по второму чекбоксу","","Fri Feb 13 09:37:34 UTC 2026","passed","Fri Feb 13 09:37:34 UTC 2026","","Тесты страницы с чекбоксами","ui.tests.CheckboxesTest","clickSecondCheckboxTest"
"","5330","Dynamic Loading: элемент появляется после загрузки","","Fri Feb 13 09:37:56 UTC 2026","passed","Fri Feb 13 09:38:02 UTC 2026","","UI тесты на Selenide","ui.SelenideTest","dynamicLoadingTest"
"","1","Множество невалидных email должны быть отклонены [5] user@ex ample.com","","Fri Feb 13 09:38:09 UTC 2026","passed","Fri Feb 13 09:38:09 UTC 2026","","unit.UserValidationTest","unit.UserValidationTest","shouldRejectVariousInvalidEmails"
"","210","Выбор опции по видимому тексту","","Fri Feb 13 09:37:38 UTC 2026","passed","Fri Feb 13 09:37:39 UTC 2026","","Тесты выпадающего списка","ui.tests.DropdownTest","selectByVisibleTextTest"
"","0","Множество валидных email должны проходить проверку [9] user@domain.co.jp","","Fri Feb 13 09:38:09 UTC 2026","passed","Fri Feb 13 09:38:09 UTC 2026","","unit.UserValidationTest","unit.UserValidationTest","shouldAcceptVariousValidEmails"
"","161","GET /posts - получить все посты","","Fri Feb 13 09:38:12 UTC 2026","passed","Fri Feb 13 09:38:12 UTC 2026","","JSONPlaceholder API тесты","api.JsonPlaceholderTest","shouldGetAllPosts"
"","1","Множество валидных email должны проходить проверку [5] 123@test.com","","Fri Feb 13 09:38:09 UTC 2026","passed","Fri Feb 13 09:38:09 UTC 2026","","unit.UserValidationTest","unit.UserValidationTest","shouldAcceptVariousValidEmails"
"","146","GET /posts/1 - получить пост по ID","","Fri Feb 13 09:38:12 UTC 2026","passed","Fri Feb 13 09:38:12 UTC 2026","","JSONPlaceholder API тесты","api.JsonPlaceholderTest","shouldGetPostById"
"","0","Множество невалидных email должны быть отклонены [2] @example.com","","Fri Feb 13 09:38:09 UTC 2026","passed","Fri Feb 13 09:38:09 UTC 2026","","unit.UserValidationTest","unit.UserValidationTest","shouldRejectVariousInvalidEmails"
"","1","Валидный email должен проходить все проверки","","Fri Feb 13 09:38:09 UTC 2026","passed","Fri Feb 13 09:38:09 UTC 2026","","unit.UserValidationTest","unit.UserValidationTest","shouldReturnTrueWhenEmailIsValid"
"","174","Множественный выбор (проверка что выбирается последний)","","Fri Feb 13 09:37:39 UTC 2026","passed","Fri Feb 13 09:37:39 UTC 2026","","Тесты выпадающего списка","ui.tests.DropdownTest","multipleSelectionTest"
"","1","Множество невалидных email должны быть отклонены [4] user@@example.com","","Fri Feb 13 09:38:09 UTC 2026","passed","Fri Feb 13 09:38:09 UTC 2026","","unit.UserValidationTest","unit.UserValidationTest","shouldRejectVariousInvalidEmails"
"","192","Выбор опции по значению (value)","","Fri Feb 13 09:37:39 UTC 2026","passed","Fri Feb 13 09:37:39 UTC 2026","","Тесты выпадающего списка","ui.tests.DropdownTest","selectByValueTest"
"","0","Множество невалидных email должны быть отклонены [9] user@-example.com","","Fri Feb 13 09:38:09 UTC 2026","passed","Fri Feb 13 09:38:09 UTC 2026","","unit.UserValidationTest","unit.UserValidationTest","shouldRejectVariousInvalidEmails"
